[2025-02-23 13:24:38,457: INFO: main: Logging has implemented]
[2025-02-24 18:56:26,185: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-24 18:56:26,188: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-24 18:56:46,296: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-24 18:56:46,298: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-24 18:56:46,299: INFO: common: created directory at: artifacts]
[2025-02-24 18:56:46,301: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-24 18:56:47,693: INFO: 323967639: Filename downloaded]
[2025-02-24 21:55:17,474: INFO: main: stage Data Ingestion stage initiated]
[2025-02-24 21:55:17,478: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-24 21:55:17,480: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-24 21:55:17,482: INFO: common: created directory at: artifacts]
[2025-02-24 21:55:17,485: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-24 21:55:19,168: INFO: data_ingestion: Filename downloaded]
[2025-02-24 21:55:19,608: INFO: main: stage Data Ingestion stage completed]
